object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
35009898,tess,0.9997271836514047,99.97,planet,planet,CP,1.5275639,2458543.433731,1.3727055,2892.4227936,2.6103318,707.9554489,59.3669472,3433.0,4.89676,0.427953,164.724551,-5.547545
9385460,tess,0.9951608612085637,99.52,planet,planet,KP,3.3779614,2460044.202478,4.2709189,7198.7471125,14.3326751,1617.9261106,1619.4059744,6113.0,4.05769,1.6616499,191.702821,-24.42739
915110182,tess,0.9977487111570569,99.77,planet,planet,KP,1.4328255,2460042.540561,2.0718518,51089.4348604,18.2238418,1222.8226457,528.4147032,4588.0,4.47637,0.817544,163.101036,-61.446859
35516889,tess,0.9993950645108812,99.94,planet,planet,KP,0.7888389,2459304.062715,1.6416539,22614.8958863,16.4131054,1913.8964113,3170.9888441,5568.0,4.39267,1.0280499,148.416767,-45.659108
166527623,tess,0.9987450359257855,99.87,planet,planet,KP,6.9593972,2460044.634922,4.8553269,4826.8656037,9.3800527,1096.0649295,341.0877558,5854.0,4.438,1.33729,207.526001,-40.835896
36734222,tess,0.9994615942366074,99.95,planet,planet,KP,0.8134733,2458543.604633,1.262964,25866.83474,13.1118363,1302.836235,680.8952697,4400.0,4.64555,0.757649,154.908187,-9.806443
48103627,tess,0.9978415886092897,99.78,planet,planet,CP,4.5696698,2459283.031579,3.9536171,9861.079392,13.0582928,1270.6807784,616.12218,6122.0,4.283,1.28306,147.4067,-33.218503
53189332,tess,0.99763777872611,99.76,planet,planet,KP,9.2897006,2458544.650778,5.3589155,6241.2619064,11.4812614,1085.2558727,327.8306693,6055.0,4.22795,1.41549,166.429628,-5.079485
53735810,tess,0.9987668758490387,99.88,planet,planet,KP,4.0860495,2458544.170492,4.5420607,7083.7091188,13.0323437,1569.6962289,1434.7738788,6580.0,4.0663,1.47741,158.22503,-34.989907
75650448,tess,0.9943258365046052,99.43,planet,planet,CP,18.184189,2460093.829735,3.696,9343.0,9.90639,589.0,20.0861,5265.0,4.32,1.09,225.83705,-35.230579
