object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
295593712,tess,0.0001675748736932855,0.02,non-planet,candidate,PC,25.7086236,2460108.646864,3.831,1430.0,2.81726,531.0,13.2098,5343.0,4.58,0.82,273.846341,-68.595252
295593712,tess,0.0006352231995657477,0.06,non-planet,candidate,PC,7.6247217,2460120.337143,1.972,813.0,2.26441,711.0,42.4746,5343.0,4.58,0.82,273.846341,-68.595252
295593712,tess,0.0006352231995657477,0.06,non-planet,candidate,PC,25.7086236,2460108.646864,3.831,1430.0,2.81726,531.0,13.2098,5343.0,4.58,0.82,273.846341,-68.595252
352229268,tess,0.002028250914298501,0.2,non-planet,candidate,PC,16.155134,2459365.246873,3.528,590.0,2.42196,696.0,39.0235,5785.0,4.45,1.01,288.488957,-76.089319
362709886,tess,0.007250172041154281,0.73,non-planet,candidate,PC,4.7259317,2459363.151122,2.7740362,6309.6615331,16.7543131,1543.7606642,1342.2730931,6203.0,3.98,1.85891,246.799613,-69.344037
141412823,tess,0.0013844260362050368,0.14,non-planet,non-planet,FP,21.7004042,2460151.66684,9.415,406.0,3.16777,1078.0,224.371,5788.7,4.22,1.78,84.237192,-75.611421
263748033,tess,0.0059859924651714655,0.6,non-planet,candidate,PC,4.90826,2460119.519989,4.324,8881.0,15.7889,2317.0,4791.11,7995.0,4.2,1.83,270.051173,-31.608593
344600402,tess,9.345567235087475e-06,0.0,non-planet,non-planet,FP,1.3875331,2460123.887716,2.679,952.0,3.16086,2998.0,13423.0,5678.0,4.33,1.14,252.03108,-56.686774
326386495,tess,0.004196695681858131,0.42,non-planet,candidate,PC,17.7424733,2459383.797001,3.082,880.0,2.00179,527.0,12.8216,4926.2,4.67,0.69,268.24441,-48.563082
106940971,tess,0.017373896073405677,1.74,non-planet,candidate,PC,5.412802,2460100.181,4.5898431,5278.1957566,11.0171044,1346.375787,776.5799485,6468.0,4.22,1.47364,264.841449,-35.391821
207339000,tess,0.01397841174062665,1.4,non-planet,candidate,PC,4.6182631,2459940.464211,2.7008637,20287.618268,13.3976162,964.8475089,204.8121523,5328.0,4.50337,0.889218,135.049261,72.147747
233188747,tess,0.004490368729469853,0.45,non-planet,candidate,PC,3.4505658,2459939.613796,3.0397698,15044.6453237,12.8140087,1163.188716,432.6350726,5402.0,4.37462,1.04301,225.589638,70.949594
362222177,tess,0.00024282343472507986,0.02,non-planet,candidate,PC,6.6363577,2459884.031242,6.385,7470.0,12.2701,1345.0,543.643,5490.0,4.09312,1.46,286.680147,78.579143
198610218,tess,2.3006245309935972e-05,0.0,non-planet,candidate,PC,3.0413391,2459771.229475,1.5149962,27645.4859583,25.3471107,961.0799713,201.6318379,4034.0,4.21431,1.02777,271.308219,47.911223
158551257,tess,0.009182860878550672,0.92,non-planet,non-planet,FP,0.9023951,2459797.231728,1.6045865,5385.0871091,,1886.1512508,2991.0733649,5780.0,4.438,,287.57055,43.531709
420268415,tess,0.012474081138211808,1.25,non-planet,candidate,PC,1.7590566,2459767.611028,3.5349264,10499.9757194,20.9577864,2236.2766989,5910.4855015,6250.0,3.91912,1.9992501,308.426581,87.009328
237205154,tess,1.4766145011942513e-05,0.0,non-planet,candidate,PC,5.8929985,2459915.163041,3.788,17850.0,16.0223,1198.0,342.766,6182.0,4.3753,1.17,293.583219,76.661086
267545252,tess,0.03592439492089542,3.59,non-planet,candidate,PC,3.3792358,2459420.207144,2.8993928,18782.5364499,13.059562,1137.3474484,395.4518688,5529.0,4.47066,0.948617,284.280822,48.537916
23982469,tess,0.013063101534724031,1.31,non-planet,candidate,PC,4.3745757,2459391.449451,4.8649118,8101.7247421,18.8478934,1831.5756099,2659.6250101,7305.0,4.05424,1.99827,276.123535,32.065393
446158352,tess,8.702029102625828e-07,0.0,non-planet,candidate,PC,4.0434287,2459910.394832,3.388,8960.0,16.7752,1494.0,827.311,6557.0,4.08473,1.75,88.754704,82.889011
158241252,tess,0.01315987780778991,1.32,non-planet,planet,CP,1.8498567,2459415.15198,2.518276,195.4102498,1.7193265,1499.3048942,1194.2103654,5834.0,4.44433,1.0173301,274.268664,21.909546
158241252,tess,0.01315987780778991,1.32,non-planet,candidate,PC,10.3088724,2459393.257825,2.2763645,372.3295802,2.2122841,845.6661185,120.8695,5834.0,4.44433,1.0173301,274.268664,21.909546
158167408,tess,0.014639473932790713,1.46,non-planet,candidate,PC,5.2410659,2459423.780179,3.0113696,8947.1015296,12.4231453,1223.0165958,528.7500273,6064.0,4.27292,1.28562,285.971768,42.545624
153937417,tess,0.005551049502949752,0.56,non-planet,candidate,PC,4.1596197,2459392.183721,2.4127131,17837.7774982,9.3574411,749.515043,74.5834411,4230.0,4.55383,0.711036,172.872285,71.081486
322046084,tess,0.008574049819368303,0.86,non-planet,candidate,PC,2.7519172,2460338.433851,1.329,9811.0,13.4019,1186.0,328.515,5856.0,4.25,1.28,278.326026,25.395158
14091704,tess,8.660311608607142e-05,0.01,non-planet,candidate,PC,0.7649571,2459199.549231,1.094,1900.0,12.9538,2971.0,12939.9,6307.9,3.97,1.65,77.323576,-36.591034
