object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 214888033.01,k2,1.1167052456737479e-07,0.0,non-planet,candidate,CANDIDATE,7.457597,8.7,,,,,1.0,0.0,,,1.037,,280.8765309,-25.4110574,512.891,14.287,11.755,13.9311
EPIC 214888033.01,k2,1.1167052456737479e-07,0.0,non-planet,candidate,CANDIDATE,7.46475831483,11.93024915,941.04,185.3324,,,1.0,0.0,5357.0,4.27941,1.15577,,280.8765309,-25.4110574,512.891,14.287,11.755,13.9311
EPIC 214888033.01,k2,7.057680895736836e-06,0.0,non-planet,candidate,CANDIDATE,7.457597,8.7,,,,,1.0,0.0,,,1.037,,280.8765309,-25.4110574,512.891,14.287,11.755,13.9311
EPIC 214888033.01,k2,7.057680895736836e-06,0.0,non-planet,candidate,CANDIDATE,7.46475831483,11.93024915,941.04,185.3324,,,1.0,0.0,5357.0,4.27941,1.15577,,280.8765309,-25.4110574,512.891,14.287,11.755,13.9311
EPIC 214912104.01,k2,7.200709587130857e-08,0.0,non-planet,candidate,CANDIDATE,43.1029,12.2,,,,,1.0,0.0,,,1.923,,289.8248266,-25.355926,1327.27,14.56,12.689,14.341
EPIC 214984368.01,k2,3.5179293509259975e-08,0.0,non-planet,candidate,CANDIDATE,0.2633809,370.0,,,,,1.0,0.0,,,37.7,,280.8808732,-25.1935182,5933.99,13.945,9.825,13.2513
EPIC 215101303.01,k2,4.261217413835067e-08,0.0,non-planet,candidate,CANDIDATE,15.20726,26.2,,,,,1.0,0.0,,,1.59,,289.4114936,-24.9358861,1484.79,15.131,13.306,15.0024
EPIC 215101303.01,k2,4.261217413835067e-08,0.0,non-planet,candidate,CANDIDATE,15.207101,12.7,,,,,1.0,0.0,,,0.84,,289.4114936,-24.9358861,1484.79,15.131,13.306,15.0024
EPIC 215101303.01,k2,7.283287448805498e-07,0.0,non-planet,candidate,CANDIDATE,15.20726,26.2,,,,,1.0,0.0,,,1.59,,289.4114936,-24.9358861,1484.79,15.131,13.306,15.0024
EPIC 215101303.01,k2,7.283287448805498e-07,0.0,non-planet,candidate,CANDIDATE,15.207101,12.7,,,,,1.0,0.0,,,0.84,,289.4114936,-24.9358861,1484.79,15.131,13.306,15.0024
