object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec,koi_model_snr,koi_kepmag
6975129,kepler,0.9995359624426646,99.95,planet,planet,CONFIRMED,19.74733983,147.10553,3.4444,480.7,2.62,754.0,76.57,6243.0,4.406,1.149,298.39575,42.459751,47.1,12.949
6975129,kepler,0.9995359624426646,99.95,planet,planet,CONFIRMED,1.772451066,132.08668,2.4592,79.2,1.02,1685.0,1904.34,6243.0,4.406,1.149,298.39575,42.459751,22.4,12.949
6975129,kepler,0.9995359624426646,99.95,planet,candidate,CANDIDATE,37.8404232,146.77624,6.408,232.6,1.76,607.0,32.14,6243.0,4.406,1.149,298.39575,42.459751,23.7,12.949
11391018,kepler,0.9998680044081826,99.99,planet,planet,CONFIRMED,30.360445359,148.091546,6.0134,21125.0,10.99,459.0,10.47,4939.0,4.541,0.765,284.87997,49.266991,1126.2,14.388
8685497,kepler,0.9999839302611279,100.0,planet,planet,CONFIRMED,4.4096675,132.45003,2.1418,132.7,1.51,1192.0,476.94,5836.0,4.347,1.166,290.41199,44.89933,26.4,13.574
4365645,kepler,0.9999778820544444,100.0,planet,planet,CONFIRMED,4.16787814,135.28334,2.2136,168.1,1.07,962.0,202.48,5251.0,4.541,0.847,291.74838,39.44688,32.9,13.293
8197343,kepler,0.9998149206422347,99.98,planet,planet,CONFIRMED,11.79161234,134.54064,3.036,415.4,2.41,857.0,127.75,5619.0,4.264,1.199,300.9296,44.02879,20.7,14.941
6786348,kepler,0.999861009517096,99.99,planet,planet,CONFIRMED,26.964501,145.34426,3.792,601.7,2.2,573.0,25.56,5754.0,4.534,0.905,294.36673,42.252682,20.1,15.789
6209677,kepler,0.9999927398700794,100.0,planet,planet,CONFIRMED,7.76845639,138.06602,3.689,217.8,1.35,841.0,118.09,5447.0,4.481,0.917,293.30023,41.523338,23.6,14.8
6209677,kepler,0.9999927398700794,100.0,planet,candidate,CANDIDATE,2.53742164,132.34623,1.563,104.5,0.93,1220.0,525.68,5447.0,4.481,0.917,293.30023,41.523338,12.8,14.8
9813499,kepler,0.9995316884783962,99.95,planet,planet,CONFIRMED,5.03257009,137.32638,4.213,439.1,2.53,1047.0,283.49,5970.0,4.521,0.908,282.36349,46.67524,26.3,15.695
12254792,kepler,0.9999886300817556,100.0,planet,planet,CONFIRMED,40.4286676,139.50631,7.102,916.1,2.92,494.0,14.08,5813.0,4.561,0.833,289.42459,50.994122,40.9,14.982
12020218,kepler,0.9999563977592856,100.0,planet,planet,CONFIRMED,21.3588236,135.07022,5.823,640.1,2.52,691.0,53.89,6170.0,4.472,0.992,295.40253,50.47863,33.2,15.259
7690844,kepler,0.9999932776091075,100.0,planet,planet,CONFIRMED,22.0459163,136.47548,5.22,804.8,3.05,640.0,39.69,5900.0,4.509,0.951,294.52713,43.36816,29.7,15.689
5438099,kepler,0.9999948656544811,100.0,planet,planet,CONFIRMED,7.24022418,355.01243,2.9153,864.9,2.14,716.0,62.1,4955.0,4.61,0.721,288.53867,40.61615,48.2,15.565
5438099,kepler,0.9999948656544811,100.0,planet,planet,CONFIRMED,4.64622383,354.58863,2.5137,446.5,1.82,830.0,112.18,4955.0,4.61,0.721,288.53867,40.61615,28.2,15.565
5438099,kepler,0.9999948656544811,100.0,planet,planet,CONFIRMED,17.32670445,360.5083,4.269,800.0,2.23,535.0,19.38,4955.0,4.61,0.721,288.53867,40.61615,34.8,15.565
5438099,kepler,0.9999948656544811,100.0,planet,planet,CONFIRMED,44.8411168,359.87359,5.902,1051.6,2.75,390.0,5.45,4955.0,4.61,0.721,288.53867,40.61615,28.9,15.565
5438099,kepler,0.9999808766159135,100.0,planet,planet,CONFIRMED,7.24022418,355.01243,2.9153,864.9,2.14,716.0,62.1,4955.0,4.61,0.721,288.53867,40.61615,48.2,15.565
5438099,kepler,0.9999808766159135,100.0,planet,planet,CONFIRMED,4.64622383,354.58863,2.5137,446.5,1.82,830.0,112.18,4955.0,4.61,0.721,288.53867,40.61615,28.2,15.565
5438099,kepler,0.9999808766159135,100.0,planet,planet,CONFIRMED,17.32670445,360.5083,4.269,800.0,2.23,535.0,19.38,4955.0,4.61,0.721,288.53867,40.61615,34.8,15.565
5438099,kepler,0.9999808766159135,100.0,planet,planet,CONFIRMED,44.8411168,359.87359,5.902,1051.6,2.75,390.0,5.45,4955.0,4.61,0.721,288.53867,40.61615,28.9,15.565
8009350,kepler,0.9999321498888424,99.99,planet,planet,CONFIRMED,13.75207851,143.03241,2.8831,1215.6,2.81,556.0,22.57,4802.0,4.616,0.699,283.12964,43.888241,36.8,15.587
8082001,kepler,0.9997277035596434,99.97,planet,planet,CONFIRMED,6.33855946,354.85104,3.4617,721.7,3.31,1034.0,270.47,6108.0,4.466,1.03,284.96304,43.91301,57.4,15.182
9277896,kepler,0.9998543038967441,99.99,planet,planet,CONFIRMED,4.59489816,133.83995,3.1381,109.7,1.85,1319.0,716.65,6056.0,4.217,1.381,290.59207,45.737141,27.7,13.298
9401997,kepler,0.9995824444854674,99.96,planet,planet,CONFIRMED,32.2964275,138.52615,4.561,472.2,1.9,503.0,15.14,5246.0,4.47,0.891,290.98331,45.973301,17.9,15.2
10686864,kepler,0.9999186185640814,99.99,planet,planet,CONFIRMED,2.97041801,133.39136,2.2369,530.7,1.7,991.0,228.11,5068.0,4.608,0.743,299.05127,47.94928,22.4,15.759
9631995,kepler,0.9999909261369753,100.0,planet,planet,CONFIRMED,7.891448838,177.2499624,4.2854,10345.0,12.63,1028.0,263.54,5972.0,4.313,1.237,282.62967,46.32336,1955.1,13.435
7901948,kepler,0.9999374867012208,99.99,planet,planet,CONFIRMED,2.578852119,133.2237,2.3581,334.3,1.63,1230.0,540.56,5743.0,4.553,0.853,295.41745,43.60564,36.7,15.106
6442377,kepler,0.999964366054378,100.0,planet,planet,CONFIRMED,30.22910274,134.52081,6.6751,443.4,3.49,755.0,76.88,6325.0,4.188,1.518,291.64676,41.884659,71.7,13.432
10004519,kepler,0.9998785679322744,99.99,planet,planet,CONFIRMED,9.80321143,363.98686,4.4617,813.4,2.99,896.0,152.12,6170.0,4.472,0.992,288.73407,46.939388,53.1,15.439
5031857,kepler,0.9989627634397164,99.9,planet,planet,CONFIRMED,24.81097206,156.506971,3.2245,2090.8,4.22,631.0,37.43,6086.0,4.511,0.921,296.84616,40.138611,123.9,14.373
5031857,kepler,0.9989627634397164,99.9,planet,candidate,CANDIDATE,7.136922,131.75317,2.8005,221.6,1.38,956.0,197.05,6086.0,4.511,0.921,296.84616,40.138611,23.7,14.373
10879038,kepler,0.9997989692324141,99.98,planet,planet,CONFIRMED,4.8538404,135.09902,3.198,196.4,1.72,1052.0,288.7,5778.0,4.483,0.968,298.20071,48.267841,15.4,14.971
10990917,kepler,0.9996445791857564,99.96,planet,planet,CONFIRMED,11.04605365,136.44056,4.799,308.3,1.8,869.0,134.66,6093.0,4.429,1.025,298.11478,48.4944,24.3,14.681
11046025,kepler,0.9994467713507292,99.94,planet,planet,CONFIRMED,3.72020708,133.41684,1.892,156.9,0.99,954.0,195.7,5017.0,4.516,0.797,298.46579,48.55941,15.0,14.293
